IdList,name,Superkingdom
1423,Bacillus subtilis,Bacteria
5691,Trypanosoma brucei,Eukaryota
1771,Mycolicibacterium phlei,Bacteria
305,Ralstonia solanacearum,Bacteria
551,Erwinia,Bacteria
53413,Xanthomonas axonopodis,Bacteria
347,Xanthomonas oryzae,Bacteria
1309,Streptococcus mutans,Bacteria
562,Escherichia coli,Bacteria
1768,Mycobacterium kansasii,Bacteria
1513,Clostridium tetani,Bacteria
1408,Bacillus pumilus,Bacteria
266,Paracoccus denitrificans,Bacteria
317,Pseudomonas syringae,Bacteria
1716,Corynebacterium,Bacteria
5057,Aspergillus clavatus,Eukaryota
1409,Bacillus sp.,Bacteria
1390,Bacillus amyloliquefaciens,Bacteria
996,Flavobacterium columnare,Bacteria
1354,Enterococcus hirae,Bacteria
183417,Proteus hauseri,Bacteria
74722,Stachybotrys chartarum,Eukaryota
5076,Penicillium chrysogenum,Eukaryota
5341,Agaricus bisporus,Eukaryota
620,Shigella,Bacteria
1498,Hathewaya histolytica,Bacteria
1496,Clostridioides difficile,Bacteria
471,Acinetobacter calcoaceticus,Bacteria
28130,Prevotella disiens,Bacteria
840,Hoylesella loescheii,Bacteria
28125,Prevotella bivia,Bacteria
848,Fusobacterium,Bacteria
29466,Veillonella parvula,Bacteria
1257,Peptostreptococcus,Bacteria
33033,Parvimonas micra,Bacteria
1767,Mycobacterium intracellulare,Bacteria
545,Citrobacter koseri,Bacteria
476,Moraxella bovis,Bacteria
210,Helicobacter pylori,Bacteria
714,Aggregatibacter actinomycetemcomitans,Bacteria
35783,Enterococcus sp.,Bacteria
471,Acinetobacter calcoaceticus,Bacteria
511,Alcaligenes faecalis,Bacteria
84631,Proteus inconstans,Bacteria
1305,Streptococcus sanguinis,Bacteria
544,Citrobacter,Bacteria
60711,Chlorocebus sabaeus,Eukaryota
1810,Mycolicibacterium vaccae,Bacteria
1791,Mycolicibacterium aurum,Bacteria
9823,Sus scrofa,Eukaryota
1421,Lysinibacillus sphaericus,Bacteria
536,Chromobacterium violaceum,Bacteria
303,Pseudomonas putida,Bacteria
28901,Salmonella enterica,Bacteria
1773,Mycobacterium tuberculosis,Bacteria
729,Haemophilus parainfluenzae,Bacteria
576,Klebsiella sp.,Bacteria
29382,Staphylococcus cohnii,Bacteria
1292,Staphylococcus warneri,Bacteria
1911,Streptomyces griseus,Bacteria
1773,Mycobacterium tuberculosis,Bacteria
40216,Acinetobacter radioresistens,Bacteria
1304,Streptococcus salivarius,Bacteria
1718,Corynebacterium glutamicum,Bacteria
1306,Streptococcus sp.,Bacteria
42858,Mammaliicoccus lentus,Bacteria
1288,Staphylococcus xylosus,Bacteria
28090,Acinetobacter lwoffii,Bacteria
158836,Enterobacter hormaechei,Bacteria
35703,Citrobacter amalonaticus,Bacteria
57975,Burkholderia thailandensis,Bacteria
1402,Bacillus licheniformis,Bacteria
1393,Brevibacillus brevis,Bacteria
29387,Staphylococcus sp.,Bacteria
28901,Salmonella enterica,Bacteria
599,Salmonella sp.,Bacteria
1888,Streptomyces albus,Bacteria
1269,Micrococcus,Bacteria
1467,Lederbergia lenta,Bacteria
702,Plesiomonas,Bacteria
759,Pasteurella sp.,Bacteria
263,Francisella tularensis,Bacteria
575,Raoultella planticola,Bacteria
29430,Acinetobacter haemolyticus,Bacteria
5811,Toxoplasma gondii,Eukaryota
72000,Kocuria rhizophila,Bacteria
5691,Trypanosoma brucei,Eukaryota
87883,Burkholderia multivorans,Bacteria
28131,Prevotella intermedia,Bacteria
263,Francisella tularensis,Bacteria
1833,Rhodococcus erythropolis,Bacteria
29460,Brucella neotomae,Bacteria
1764,Mycobacterium avium,Bacteria
37734,Enterococcus casseliflavus,Bacteria
1281,Staphylococcus carnosus,Bacteria
837,Porphyromonas gingivalis,Bacteria
229037,Proteus sp.,Bacteria
1520,Clostridium beijerinckii,Bacteria
1491,Clostridium botulinum,Bacteria
148305,Pyricularia grisea,Eukaryota
2052682,Globisporangium ultimum,Eukaryota
1781,Mycobacterium marinum,Bacteria
1778,Mycobacterium gordonae,Bacteria
1763,Mycobacterium,Bacteria
1773,Mycobacterium tuberculosis,Bacteria
1789,Mycobacterium xenopi,Bacteria
1809,Mycobacterium ulcerans,Bacteria
1801,Mycolicibacterium diernhoferi,Bacteria
10036,Mesocricetus auratus,Eukaryota
625,Shigella sp.,Bacteria
